revenue,rating
6344112.0,5.9
0.0,6.9
21520719.0,6.6
14788642.0,6.1
0.0,6.0
8020.0,5.4
18144030.0,6.5
0.0,6.3
0.0,6.145
34705850.0,6.6
1451343.0,6.2
11100000.0,6.6
6007194.0,7.2
0.0,3.2
430041.0,7.2
0.0,6.3
47355187.0,6.6
0.0,7.4
13004198.0,7.118
15134293.0,6.3
0.0,4.0
18409891.0,6.323
6775121.0,6.375
4790751.0,7.5
0.0,3.237
10000000.0,5.3
635162.0,5.6
1437000.0,7.27
45636368.0,6.6
0.0,6.5
0.0,6.776
0.0,5.882
0.0,5.07
0.0,4.882
0.0,4.2
1611000.0,6.1
0.0,3.9
