country,release_year,language,budget,cast_numbers,genre_numbers,director_number,first_genre,month_name,day,mean,std,var,labels
Germany,2010.0,de,0.0,5.0,3.0,1.0,Crime,August,13.0,0.0263,0.0656,0.0043,24.0
"Australia, Mexico, United States of America",2010.0,en,25000000.0,5.0,3.0,1.0,Fantasy,November,6.0,0.0211,0.0675,0.0046,30.0
United States of America,2010.0,en,25000000.0,5.0,1.0,1.0,Drama,December,10.0,0.027,0.0654,0.0043,28.0
United States of America,2010.0,en,0.0,5.0,4.0,1.0,Science Fiction,February,2.0,0.0264,0.0656,0.0043,2.0
Japan,2010.0,ja,0.0,5.0,4.0,4.0,Action,December,4.0,0.0307,0.0637,0.0041,38.0
"United Arab Emirates, United States of America",2010.0,en,20000000.0,5.0,3.0,1.0,Mystery,February,26.0,0.0195,0.068,0.0046,42.0
"France, United Kingdom",2010.0,en,12000000.0,5.0,3.0,1.0,Adventure,February,15.0,0.0254,0.066,0.0044,2.0
United States of America,2010.0,en,55000000.0,5.0,2.0,1.0,Drama,November,23.0,0.0303,0.0639,0.0041,18.0
United States of America,2010.0,en,0.0,5.0,3.0,1.0,Science Fiction,January,30.0,0.0266,0.0655,0.0043,10.0
United States of America,2010.0,en,21000000.0,5.0,1.0,1.0,Comedy,April,15.0,0.0273,0.0652,0.0043,35.0
United States of America,2010.0,en,70000000.0,5.0,2.0,1.0,Drama,September,20.0,0.0244,0.0664,0.0044,13.0
United States of America,2010.0,en,47000000.0,5.0,5.0,1.0,Action,June,18.0,0.0292,0.0644,0.0041,54.0
South Korea,2010.0,ko,10400000.0,5.0,1.0,1.0,War,June,16.0,0.0252,0.0661,0.0044,2.0
Japan,2010.0,ja,0.0,4.0,2.0,1.0,Thriller,August,13.0,0.0283,0.0648,0.0042,19.0
United States of America,2010.0,en,52000000.0,5.0,2.0,1.0,Comedy,February,10.0,0.0362,0.0607,0.0037,53.0
United States of America,2010.0,en,112000000.0,5.0,4.0,1.0,Family,December,23.0,0.0245,0.0663,0.0044,43.0
"United Kingdom, United States of America",2010.0,en,80000000.0,5.0,4.0,1.0,Crime,January,28.0,0.0298,0.0641,0.0041,19.0
United States of America,2010.0,en,0.0,5.0,2.0,1.0,Romance,June,23.0,0.025,0.0661,0.0044,28.0
United States of America,2010.0,en,25000000.0,5.0,5.0,1.0,Action,April,23.0,0.0267,0.0655,0.0043,6.0
United States of America,2010.0,en,0.0,5.0,3.0,2.0,Animation,December,7.0,0.0307,0.0637,0.0041,50.0
United States of America,2010.0,en,25000000.0,5.0,3.0,1.0,Drama,February,4.0,0.0272,0.0653,0.0043,26.0
United States of America,2010.0,en,0.0,5.0,3.0,1.0,Mystery,July,27.0,0.0218,0.0673,0.0045,46.0
United States of America,2010.0,en,38000000.0,5.0,3.0,1.0,Comedy,October,2.0,0.0285,0.0647,0.0042,39.0
United States of America,2010.0,en,0.0,5.0,1.0,1.0,Documentary,February,7.0,0.0163,0.0688,0.0047,11.0
France,2010.0,fr,70200000.0,5.0,4.0,1.0,Animation,August,22.0,0.0242,0.0664,0.0044,5.0
Japan,2010.0,ja,0.0,5.0,3.0,1.0,Drama,June,4.0,0.0235,0.0667,0.0044,18.0
Japan,2010.0,ja,0.0,5.0,4.0,2.0,Action,January,23.0,0.0316,0.0633,0.004,5.0
United States of America,2010.0,en,0.0,5.0,2.0,1.0,Animation,November,16.0,0.0314,0.0634,0.004,6.0
"United States of America, Japan, Singapore, South Korea",2010.0,en,0.0,5.0,4.0,7.0,Action,February,9.0,0.0241,0.0665,0.0044,10.0
"China, Hong Kong",2010.0,zh,0.0,5.0,2.0,1.0,Action,December,20.0,0.0223,0.0671,0.0045,46.0
United States of America,2010.0,en,40000000.0,5.0,3.0,1.0,Adventure,June,3.0,0.0292,0.0644,0.0041,28.0
"United Kingdom, United States of America, France",2010.0,en,0.0,5.0,1.0,1.0,Documentary,October,7.0,0.028,0.0649,0.0042,25.0
United States of America,2010.0,en,30000000.0,5.0,3.0,1.0,Action,February,26.0,0.0306,0.0637,0.0041,35.0
Japan,2010.0,ja,0.0,5.0,4.0,1.0,Animation,April,17.0,0.0259,0.0658,0.0043,11.0
United States of America,2010.0,en,0.0,5.0,4.0,1.0,Animation,September,14.0,0.0272,0.0653,0.0043,2.0
United States of America,2010.0,en,21800000.0,5.0,2.0,1.0,Thriller,July,15.0,0.0189,0.0681,0.0046,10.0
United States of America,2010.0,en,0.0,5.0,4.0,1.0,Adventure,October,21.0,0.0325,0.0628,0.0039,35.0
United States of America,2010.0,en,0.0,5.0,3.0,2.0,Family,October,31.0,0.0218,0.0673,0.0045,45.0
United States of America,2010.0,en,120000000.0,5.0,3.0,1.0,Comedy,December,17.0,0.0268,0.0654,0.0043,20.0
